questions,class
What is the full form of .com ?,ABBREVIATION
When was Ozzy Osbourne born ?,NUMERIC
How many Jews were executed in concentration camps during WWII ?,NUMERIC
What is the date of Boxing Day ?,NUMERIC
What does the abbreviation AIDS stand for ?,ABBREVIATION
How many points make up a perfect fivepin bowling score ?,NUMERIC
How many Community Chest cards are there in Monopoly ?,NUMERIC
When did the neanderthal man live ?,NUMERIC
How many people in the world speak French ?,NUMERIC
How many inches over six feet is the Venus de Milo ?,NUMERIC
How many species of the Great White shark are there ?,NUMERIC
How many villi are found in the small intestine ?,NUMERIC
In which year was New Zealand excluded from the ANZUS alliance ?,NUMERIC
When did CNN begin broadcasting ?,NUMERIC
When did Rococo painting and architecture flourish ?,NUMERIC
How much money does a back injury lawsuit get ?,NUMERIC
How long does it take for your blood to make one complete trip through the body ?,NUMERIC
When did the Bounty mutiny take place ?,NUMERIC
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",NUMERIC
How many years do fossils take to form ?,NUMERIC
How many hostages were killed in the Entebbe raid ?,NUMERIC
What does INRI stand for when used on Jesus ' cross ?,ABBREVIATION
How many bends are there in a standard paper clip ?,NUMERIC
What is the busiest air travel season ?,NUMERIC
In what year did Thatcher become prime minister ?,NUMERIC
How many months does it take the moon to revolve around the Earth ?,NUMERIC
In what year was De Gaulle elected president of France ?,NUMERIC
How many colonies were involved in the American Revolution ?,NUMERIC
What are the three winter months in the southern hemisphere ?,NUMERIC
What dangles over the tongue from the palate ?,ENTITY
When was the first Wall Street Journal published ?,NUMERIC
When did the royal wedding of Prince Andrew and Fergie take place ?,NUMERIC
CNN began broadcasting in what year ?,NUMERIC
What is a ball that hits the foul pole called ?,ENTITY
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,ENTITY
What was the education system in the 1960 's ?,ENTITY
How many species of sharks are there ?,NUMERIC
How many people are there in the world ?,NUMERIC
What shrubs can be planted that will be safe from deer ?,ENTITY
What does S.O.S. stand for ?,ABBREVIATION
Name a technique widely used to detect birth defects ?,ENTITY
What four forms does gold occur in ?,ENTITY
What is the acreage of the Chappellet vineyard ?,NUMERIC
When did beethoven die ?,NUMERIC
How much does a new railroad coal car cost ?,NUMERIC
How many revolutions does a standard LP make in three minutes ?,NUMERIC
What 's the slowest Olympic swimming stroke ?,ENTITY
What disease is transmitted by the Anopheles mosquito ?,ENTITY
What rum is so `` mixable '' it is a one-brand bar ?,ENTITY
How many South American countries have the letter Z in their names ?,NUMERIC
"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",NUMERIC
"Which mosquito 's bite draws blood , DT NN CC DT NN .",ENTITY
When was the first steel mill in the United States built ?,NUMERIC
When did the Berlin Wall go up ?,NUMERIC
What instrument is Ray Charles best known for playing ?,ENTITY
What is the mascot for Notre Dame University ?,ENTITY
When did Mount St. Helen last have a significant eruption ?,NUMERIC
CNN is the abbreviation for what ?,ABBREVIATION
When did World War I start ?,NUMERIC
How many feet are there in a fathom ?,NUMERIC
To what does Microsoft 's Windows 3 owe its success ?,ENTITY
"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",ENTITY
What did brontosauruses eat ?,ENTITY
What color bottles do good Rhine wines come in ?,ENTITY
When is Boxing Day ?,NUMERIC
What is the lowest level of the American judiciary ?,ENTITY
When was the battle of the Somme fought ?,NUMERIC
How many people did Randy Craft kill ?,NUMERIC
What 's the official animal of Canada ?,ENTITY
When did Spielberg direct `` Jaws '' ?,NUMERIC
What is the size of the largest akita ?,NUMERIC
What animal has the biggest eyes ?,ENTITY
What do Italians call Florence ?,ENTITY
What does ` PSI ' stand for ?,ABBREVIATION
What 's the term for a bet before cards are dealt ?,ENTITY
"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",ENTITY
What is Latin for incompetent ?,ENTITY
What chemicals are used in lethal injection ?,ENTITY
What board game does a `` wood-pusher '' play poorly ?,ENTITY
What is the abbreviation for micro ?,ABBREVIATION
What are the 7 articles of the constitution ?,ENTITY
What does NASDAQ stand for ?,ABBREVIATION
What is BPH ?,ABBREVIATION
What is the fastest commercial automobile that can be bought in the US ?,ENTITY
What was Einstein 's IQ ?,NUMERIC
What day was Pearl Harbor attacked in 1942 ?,NUMERIC
What is the best way to remove wallpaper ?,ENTITY
How many years ago did the ship Titanic sink ?,NUMERIC
What are Halloween 's colors ?,ENTITY
"What is the latitude and longitude of El Paso , Texas ?",NUMERIC
What is the normal resting heart rate of a healthy adult ?,NUMERIC
What is the population of Ohio ?,NUMERIC
How many calories are there in a Big Mac ?,NUMERIC
What creature scares people in the film `` Jaws '' ?,ENTITY
What are the four elements ?,ENTITY
What 's the tallest piece on a chessboard ?,ENTITY
What product did Robert Conrad dare people to knock off his shoulder ?,ENTITY
What 's the American dollar equivalent for 8 pounds in the U.K. ?,NUMERIC
What are the different approaches of systems analysis ?,ENTITY
What is the speed of the Mississippi River ?,NUMERIC
What are the developmental stages of a swimmer ?,ENTITY
What year did Jack Nicklaus join the Professional Golfers Association tour ?,NUMERIC
How many sonnets did Shakespeare write ?,NUMERIC
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,ENTITY
What Jewish holiday saw the start of the 1973 Mideast War ?,ENTITY
What is the speed of the Mississippi River ?,NUMERIC
What is Dudley Do-Right 's horse 's name ?,ENTITY
What TV game show once saw a contestant admit to picking his toes in the shower ?,ENTITY
What war did Florence Nightingale tend the troops in ?,ENTITY
How many Beatles ' records went #1 ?,NUMERIC
What is the abbreviation of the company name ` General Motors ' ?,ABBREVIATION
How many equal angles are there in an isosceles triangle ?,NUMERIC
What is the fear of cockroaches called ?,ENTITY
What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,ENTITY
What film did Lee Marvin win the 1965 best actor Oscar for ?,ENTITY
What product does `` Mrs. Olsen '' promote ?,ENTITY
What time of day did Emperor Hirohito die ?,NUMERIC
What 's the most powerful card in Euchre ?,ENTITY
How many years did it take James Joyce to write Ulysses ?,NUMERIC
What crop failure caused the Irish Famine ?,ENTITY
How many types of dogs ' tails are there - three,NUMERIC
What is the longest-running television series ?,ENTITY
What predators exist on Antarctica ?,ENTITY
What beer advertised that it had `` three rings '' ?,ENTITY
What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,NUMERIC
What golfing accessory was patented by George Grant on December 12,ENTITY
What are the different types of plastic ?,ENTITY
When was the women 's suffrage amendment ratified ?,NUMERIC
What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,ENTITY
What year did Hitler die ?,NUMERIC
What kind of animal is Babar ?,ENTITY
What killed Bob Marley ?,ENTITY
How much money are Dumbo 's ears insured for ?,NUMERIC
What do bicornate animals have two of ?,ENTITY
What is a fear of weakness ?,ENTITY
How many miles is it to Ohio from North Carolina ?,NUMERIC
How much snow equals an inch of rain ?,NUMERIC
What does G.M.T. stand for ?,ABBREVIATION
What song served as the closing theme of The Johnny Cash Show ?,ENTITY
What field sport did dentist William Beers promote and write a standard book of rules for ?,ENTITY
When does the average teenager first have intercourse ?,NUMERIC
"What English word comes from the Old French covrefeu , meaning cover fire ?",ENTITY
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,ENTITY
Where does your hair grow the fastest ?,ENTITY
What is the speed of the Mississippi River ?,NUMERIC
What film marked Robert Redford 's directorial debut ?,ENTITY
What film or films has Jude Law appeared in ?,ENTITY
What 's the most commonly-spoken language in Belgium ?,ENTITY
"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",ENTITY
How many referees work a soccer game ?,NUMERIC
What cocktail do you concoct with whisky and sweet vermouth ?,ENTITY
How do you say `` fresh '' in Spanish ?,ENTITY
When is the Tulip Festival in Michigan ?,NUMERIC
What movie did Madilyn Kahn star in with Gene Wilder ?,ENTITY
What type of bridge is the Golden Gate Bridge ?,ENTITY
What was the first Lifesaver flavor ?,ENTITY
How many degrees cooler is the inside of a cucumber than the air outside ?,NUMERIC
What is the Jewish bible called ?,ENTITY
How long does it take for Spider-Man 's web to evaporate ?,NUMERIC
"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",ENTITY
What does the Statue of Liberty wear on her feet ?,ENTITY
"What household facility contains a float ball , ballcock , and overflow tube ?",ENTITY
What was the name of Betty Boop 's dog ?,ENTITY
What fraction of a beaver 's life is spent swimming ?,NUMERIC
What was the Bridge of San Luis Rey made of ?,ENTITY
How many years is Johnnie Walker Black Label aged ?,NUMERIC
What does SIDS stand for ?,ABBREVIATION
What is Grenada 's main commodity export ?,ENTITY
"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?",NUMERIC
What `` magic '' does Mandrake employ ?,ENTITY
"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?",ENTITY
How many innings are there in a regulation softball game ?,NUMERIC
When did CNN go on the air ?,NUMERIC
What is the telephone number for the University of Kentucky ?,NUMERIC
How many wives did Brigham Young have ?,NUMERIC
What product on the market is good for hiding facial scars ?,ENTITY
How long is the Coney Island boardwalk ?,NUMERIC
Name a movie about the Sioux Indians starring Kevin Costner .,ENTITY
What is a fear of thunder ?,ENTITY
What animal has killed the most people ?,ENTITY
How many colleges are in Wyoming ?,NUMERIC
When was the Battle of Hastings ?,NUMERIC
What kind of file has the extension .dbf ?,ENTITY
When did Muhammad live ?,NUMERIC
"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",ENTITY
What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,ENTITY
Name a film in which Jude Law acted .,ENTITY
What is the temperature for baking Peachy Oat Muffins ?,NUMERIC
What is a fear of bees ?,ENTITY
What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?,ENTITY
What does a chairbound basophobic fear ?,ENTITY
What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,ENTITY
What fastener did Whitcomb Judson patent in 1893 ?,ENTITY
What does ribavirin consist of ?,ENTITY
Name the soft drink that is `` number one in the sun . '',ENTITY
What was the name of that popular song the Creeps sang ?,ENTITY
What is a fear of being alone ?,ENTITY
How many dots make up the symbol for `` because '' ?,NUMERIC
What do you get by adding Lactobacillus bulgaricus to milk ?,ENTITY
"When reading classified ads , what does EENTY : other stand for ?",ABBREVIATION
How many hearts does an octopus have ?,NUMERIC
What plant has the largest seed ?,ENTITY
What 's approaching when a cyclist shouts : `` Oil '' ?,ENTITY
What kind of sport is often associated with hooligans ?,ENTITY
How many holes are there in a tenpin bowling ball ?,NUMERIC
What is the longest word in the English language ?,ENTITY
What is `` the bear of beers '' ?,ENTITY
Name the operating system that runs on IBM-compatible machines .,ENTITY
What percentage of the body is muscle ?,NUMERIC
What color of dry wine should be served with veal roasts and chops ?,ENTITY
What is a golf ball made of ?,ENTITY
What does an average daycare provider get paid in New England ?,NUMERIC
What sign is The Water Carrier the zodiacal symbol for ?,ENTITY
What animals do you find in the stock market ?,ENTITY
When is the site www.questions.com going to open ?,NUMERIC
What did Shostakovich write for Rostropovich ?,ENTITY
What is the second hardest substance ?,ENTITY
When is Bastille Day ?,NUMERIC
How many shots can a stock M16 hold ?,NUMERIC
What two colors are you blind to if you suffer from protanopia ?,ENTITY
What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?,ENTITY
What do flatfish eat ?,ENTITY
What can I use to remove the stubborn gummed labels from some diskettes ?,ENTITY
What day of the week sees the most fatal car accidents ?,NUMERIC
What sport do you shag flies in ?,ENTITY
What kind of wine is Spumante ?,ENTITY
How do you say I love you in Spanish ?,ENTITY
What is the most advanced handheld calculator in the world ?,ENTITY
How fast is light ?,NUMERIC
What is the belt of low pressure around the equator called ?,ENTITY
When was the first American encyclopedia published ?,NUMERIC
Name a tiger that is extinct .,ENTITY
How many quarters equal a pound ?,NUMERIC
What kind of books does Fodor 's publish ?,ENTITY
What chapter of the Bible has the most verses ?,NUMERIC
What is the abbreviated expression for the National Bureau of Investigation ?,ABBREVIATION
How fast does the fastest car go ?,NUMERIC
How long should a person wash their hands before they are clean ?,NUMERIC
What is a fear of passing high objects ?,ENTITY
What is the rarest coin ?,ENTITY
What Judith Rossner novel was made into a film starring Diane Keaton ?,ENTITY
What is a fear of parasites ?,ENTITY
In what Olympic Games did Nadia Comaneci become popular ?,ENTITY
